"phylum","class","order","family","genus","species","specificEpithet","sex","sampleSizeValue","inTextReference","publicationYear","fullReference","body mass","body mass - units","body mass - minimum","body mass - maximum","body mass - method","body mass - comments","body mass - metadata comment","original body mass","original body mass - units","metabolic rate","metabolic rate - units","metabolic rate - minimum","metabolic rate - maximum","metabolic rate - method","metabolic rate - comments","metabolic rate - metadata comment","original metabolic rate","original metabolic rate - units","original respiratoryQuotient","original temperature","mass-specific metabolic rate","mass-specific metabolic rate - units","brain size","brain size - units","brain size - minimum","brain size - maximum","brain size - method","brain size - comments","brain size - metadata comment","original brain size","original brain size - units"
"Arthropoda","Arachnida","Araneae","Araneidae","Nephila","Nephila clavipes","clavipes",,5,"Weltzien & Barth, 1991","1991","Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",6.30924e-08,"kg",,,"histological reconstruction","DONTWARN: checked value correct","cross sctions were horizontally aligned and measured with microscopic device","60900000","um3"
"Arthropoda","Arachnida","Araneae","Theraphosidae","Ephebopus","Ephebopus sp.","sp.",,3,"Weltzien & Barth, 1991","1991","Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",3.82284e-07,"kg",,,"histological reconstruction","","cross sctions were horizontally aligned and measured with microscopic device","3.69e+08","um3"
"Arthropoda","Arachnida","Araneae","Salticidae","Phidippus","Phidippus regius","regius",,3,"Weltzien & Barth, 1991","1991","Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",2.7454e-07,"kg",,,"histological reconstruction","","cross sctions were horizontally aligned and measured with microscopic device","2.65e+08","um3"
"Arthropoda","Arachnida","Araneae","Araneidae","Zygiella","Zygiella x-notata","x-notata",,20,"Pasquet, Toscani, & Anotaux, 2018","2018","Pasquet, A., Toscani, C., & Anotaux, M. (2018). Influence of aging on brain and web characteristics of an orb web spider. Journal of Ethology, 36(1), 85-91. doi:10.1007/s10164-017-0530-z",3.9e-05,"kg",,,"","old spider","","39","mg",,"",,,,"","",,"",,,,"",1.22248e-06,"kg",,,"histological reconstruction","old spider","surface areas were measured with microscope then rotated 90 deg and divided into seven sections, heights were calculated then volume was measured","1.18","mm3"
"Arthropoda","Arachnida","Araneae","Araneidae","Zygiella","Zygiella x-notata","x-notata",,13,"Pasquet, Toscani, & Anotaux, 2018","2018","Pasquet, A., Toscani, C., & Anotaux, M. (2018). Influence of aging on brain and web characteristics of an orb web spider. Journal of Ethology, 36(1), 85-91. doi:10.1007/s10164-017-0530-z",2.9e-05,"kg",,,"","young spider","","29","mg",,"",,,,"","",,"",,,,"",1.35716e-06,"kg",,,"histological reconstruction","young spider","surface areas were measured with microscope then rotated 90 deg and divided into seven sections, heights were calculated then volume was measured","1.31","mm3"
"Arthropoda","Arachnida","Araneae","Mysmenidae","Mysmena","Mysmena sp.","sp.","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",1e-07,"kg",,,"","","","0.1","mg",,"",,,,"","",,"",,,,"",4.0404e-09,"kg",,,"histological reconstruction","CNS (includes volume of neuropil)","photographs of cross sections were taken and then reconstructed using PC-reconstruct","3.9","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Mysmenidae","Mysmenopsis","Mysmenopsis tengellacompa","tengellacompa","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",3e-07,"kg",,,"","","","0.3","mg",,"",,,,"","",,"",,,,"",1.87516e-08,"kg",,,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct","18.1","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Anapidae","Anapisona","Anapisona simoni","simoni","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",8e-07,"kg",,,"","","","0.8","mg",,"",,,,"","",,"",,,,"",1.31572e-08,"kg",,,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct","12.7","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Anapidae","Anapisona","Anapisona simoni","simoni","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",8e-07,"kg",,,"","","","0.8","mg",,"",,,,"","",,"",,,,"",1.20176e-08,"kg",,,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct","11.6","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Theridiidae","Faiditus","Faiditus elevatus","elevatus","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",3e-06,"kg",,,"","","","3","mg",,"",,,,"","",,"",,,,"",3.39808e-08,"kg",,,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct","32.8","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Theridiidae","Faiditus","Faiditus elevatus","elevatus","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",2.4e-06,"kg",,,"","","","2.4","mg",,"",,,,"","",,"",,,,"",5.51152e-08,"kg",,,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct","53.2","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Theridiidae","Faiditus","Faiditus sp.","sp.","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",2.7e-06,"kg",,,"","","","2.7","mg",,"",,,,"","",,"",,,,"",5.57368e-08,"kg",,,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct","53.8","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Araneidae","Eustala","Eustala illicita","illicita","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",1.4e-05,"kg",,,"","","","14","mg",,"",,,,"","",,"",,,,"",,"",,,,"","",,""
"Arthropoda","Arachnida","Araneae","Tetragnathidae","Leucauge","Leucauge mariana","mariana","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",6e-05,"kg",,,"","","","60","mg",,"",,,,"","",,"",,,,"",1.580936e-07,"kg",,,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct","152.6","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Tetragnathidae","Leucauge","Leucauge mariana","mariana","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",2e-05,"kg",,,"","","","20","mg",,"",,,,"","",,"",,,,"",1.34162e-07,"kg",,,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct","129.5","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","argentata","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",0.00025,"kg",,,"","","","250","mg",,"",,,,"","",,"",,,,"",3.451952e-07,"kg",,,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct","333.2","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Araneidae","Nephila","Nephila clavipes","clavipes","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",0.002,"kg",,,"","DONTWARN: checked; data valid, extreme sexual dimorphism","","2000","mg",,"",,,,"","",,"",,,,"",6.6304e-07,"kg",,,"histological reconstruction","DONTWARN: checked; data valid, extreme sexual dimorphism","photographs of cross sections were taken and then reconstructed using PC-reconstruct","640","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Araneidae","Nephila","Nephila clavipes","clavipes","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",1.12e-05,"kg",,,"","DONTWARN: checked; data valid, extreme sexual dimorphism","","11.2","mg",,"",,,,"","",,"",,,,"",1.615124e-07,"kg",,,"histological reconstruction","DONTWARN: checked; data valid, extreme sexual dimorphism","photographs of cross sections were taken and then reconstructed using PC-reconstruct","155.9","x1e6 um3"
"Arthropoda","Arachnida","Araneae","Agelenidae","Eratigena","Eratigena atrica","atrica",,10,"Napiorkowska & Kobak, 2017","2017","Napiorkowska, T., & Kobak, J. (2017). The allometry of the central nervous system during the postembryonic development of the spider Eratigena atrica. Arthropod Structure & Development, 46(6), 805-814. doi:10.1016/j.asd.2017.08.005",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",1.37788e-07,"kg",,,"histological reconstruction",,,"0.133","mm3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",2.4503462158e-08,"kg",,,"micro-CT","supplementary material says data is in u3? In text units are um3 - no body mass recorded ",,"23651990.5","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",2.20232955628e-08,"kg",,,"micro-CT","",,"21258007.3","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",2.4336333084e-08,"kg",,,"micro-CT","",,"23490669","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",2.29617674552e-08,"kg",,,"micro-CT","",,"22163868.2","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",2.94616373604e-08,"kg",,,"micro-CT","",,"28437873.9","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",2.43684882448e-08,"kg",,,"micro-CT","",,"23521706.8","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",2.11184038492e-08,"kg",,,"micro-CT","",,"20384559.7","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",3.49649815592e-08,"kg",,,"micro-CT","",,"33749982.2","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",4.01069884348e-08,"kg",,,"micro-CT","",,"38713309.3","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",2.5316848032e-08,"kg",,,"micro-CT","",,"24437112","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",3.87650902688e-08,"kg",,,"micro-CT","",,"37418040.8","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",2.90785670364e-08,"kg",,,"micro-CT","",,"28068114.9","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",3.75635258656e-08,"kg",,,"micro-CT","",,"36258229.6","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",3.7893214632e-08,"kg",,,"micro-CT","",,"36576462","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",3.91118186452e-08,"kg",,,"micro-CT","",,"37752720.7","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",4.37845336824e-08,"kg",,,"micro-CT","",,"42263063.4","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",4.33228244316e-08,"kg",,,"micro-CT","",,"41817398.1","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",4.5013875732e-08,"kg",,,"micro-CT","",,"43449687","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",3.95865503124e-08,"kg",,,"micro-CT","",,"38210955.9","um3"
"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",3.50068612376e-08,"kg",,,"micro-CT","",,"33790406.6","um3"
"Chordata","Aves","Casuariiformes","Casuariidae","Casuarius","Casuarius casuarius","casuarius",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",43.85,"kg",,,"","brain volume is raw in this source, but body mass is from the handbook of australian, new zealand and antartic birds (volumes 1-7)",,"43850","g",,"",,,,"","",,"",,,,"",0.0376586,"kg",,,"skull filling","relative brain weight ",,"36.35","ml"
"Chordata","Aves","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae","novaehollandiae",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",36.5,"kg",,,"","",,"36500","g",,"",,,,"","",,"",,,,"",0.02991968,"kg",,,"skull filling","",,"28.88","ml"
