"observationID","ignore","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
7,"","Chordata","Reptilia","Squamata","Iguanidae","Phrynosoma","coronatum","male","brain size",0.1383,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
8,"","Chordata","Reptilia","Squamata","Iguanidae","Phrynosoma","coronatum","female","body mass",0.0249,"kg",,,3,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
8,"","Chordata","Reptilia","Squamata","Iguanidae","Phrynosoma","coronatum","female","brain size",0.1269,"g",,,3,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
9,"","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","quiscula aeneus","male","body mass",0.082,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
9,"","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","quiscula aeneus","male","brain size",2.92,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
10,"","Chordata","Aves","Passeriformes","Turdidae","Sialia","sialis ","female","body mass",0.034,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
10,"","Chordata","Aves","Passeriformes","Turdidae","Sialia","sialis ","female","brain size",1.281,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
11,"","Chordata","Aves","Passeriformes","Turdidae","Sialia","sialis ","male","body mass",0.029,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
11,"","Chordata","Aves","Passeriformes","Turdidae","Sialia","sialis ","male","brain size",1.392,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
12,"","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","vulpinus","male","body mass",0.558,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
12,"","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","vulpinus","male","brain size",7.99,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
13,"","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","aura","male","body mass",0.494,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
13,"","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","aura","male","brain size",9.3,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
14,"","Chordata","Aves","Passeriformes","Mimidae","Dumetella","carolinensis","female","body mass",0.033,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
14,"","Chordata","Aves","Passeriformes","Mimidae","Dumetella","carolinensis","female","brain size",1.412,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
15,"","Chordata","Aves","Passeriformes","Fringillidae","Serinus","canaria","male","body mass",0.0171,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
15,"","Chordata","Aves","Passeriformes","Fringillidae","Serinus","canaria","male","brain size",0.848,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
16,"","Chordata","Aves","Passeriformes","Fringillidae","Serinus","canaria","female","body mass",0.0153,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
16,"","Chordata","Aves","Passeriformes","Fringillidae","Serinus","canaria","female","brain size",0.564,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
17,"","Chordata","Aves","Passeriformes","Icteridae","Molothrus","ater","female","body mass",0.066,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
17,"","Chordata","Aves","Passeriformes","Icteridae","Molothrus","ater","female","brain size",2.693,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
18,"","Chordata","Aves","Gruiformes","Gruidae","Balearica","pavonina","female","body mass",4.071,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
18,"","Chordata","Aves","Gruiformes","Gruidae","Balearica","pavonina","female","brain size",13.54,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
19,"","Chordata","Aves","Gruiformes","Gruidae","Balearica","pavonina","male","body mass",4.825,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
19,"","Chordata","Aves","Gruiformes","Gruidae","Balearica","pavonina","male","brain size",12.85,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
20,"","Chordata","Aves","Gruiformes","Gruidae","Antigone","canadensis","male","body mass",1.651,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
20,"","Chordata","Aves","Gruiformes","Gruidae","Antigone","canadensis","male","brain size",8.58,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
21,"","Chordata","Aves","Passeriformes","Corvidae","Corvus","brachyrhynchos","male","body mass",0.337,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
21,"","Chordata","Aves","Passeriformes","Corvidae","Corvus","brachyrhynchos","male","brain size",9.3,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
22,"","Chordata","Aves","Charadriiformes","Alcidae","Alle","alle","female","body mass",0.102,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
22,"","Chordata","Aves","Charadriiformes","Alcidae","Alle","alle","female","brain size",1.93,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
23,"","Chordata","Aves","Charadriiformes","Alcidae","Alle","alle","male","body mass",0.104,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
23,"","Chordata","Aves","Charadriiformes","Alcidae","Alle","alle","male","brain size",1.92,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
24,"","Chordata","Aves","Anseriformes","Anatidae","Anas","acuta","female","body mass",0.67,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
24,"","Chordata","Aves","Anseriformes","Anatidae","Anas","acuta","female","brain size",4.9548,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
25,"","Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","vocifer","female","body mass",3.5,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
25,"","Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","vocifer","female","brain size",12.93,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
26,"","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","rapax","female","body mass",2.625,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
26,"","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","rapax","female","brain size",14.09,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
27,"","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","rapax","male","body mass",1.67,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
27,"","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","rapax","male","brain size",13.62,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
28,"","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","rapax","male","body mass",2.438,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
28,"","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","rapax","male","brain size",13.91,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
29,"","Chordata","Aves","Pelecaniformes","Ardeidae","Casmerodius","albus ","female","body mass",1.03,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
29,"","Chordata","Aves","Pelecaniformes","Ardeidae","Casmerodius","albus ","female","brain size",6.12,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
30,"","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","intermedia","male","body mass",0.525,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
30,"","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","intermedia","male","brain size",4.7,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
31,"","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoeniconaias","minor","female","body mass",1.483,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
31,"","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoeniconaias","minor","female","brain size",6.99,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
32,"","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoeniconaias","minor","male","body mass",1.598,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
32,"","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoeniconaias","minor","male","brain size",8.05,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
33,"","Chordata","Aves","Galliformes","Phasianidae","Gallus ","bankiva","female","body mass",1.263,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
33,"","Chordata","Aves","Galliformes","Phasianidae","Gallus ","bankiva","female","brain size",3.916,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
34,"","Chordata","Aves","Galliformes","Phasianidae","Gallus ","bankiva","male","body mass",2.2,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
34,"","Chordata","Aves","Galliformes","Phasianidae","Gallus ","bankiva","male","brain size",3.55,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
35,"","Chordata","Aves","Anseriformes","Anatidae","Alopochen","aegyptiaca","female","body mass",1.935,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
35,"","Chordata","Aves","Anseriformes","Anatidae","Alopochen","aegyptiaca","female","brain size",7.64,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
36,"","Chordata","Aves","Galliformes","Numididdae","Numida","meleagris","male","body mass",1.62,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
36,"","Chordata","Aves","Galliformes","Numididdae","Numida","meleagris","male","brain size",4.2,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
37,"","Chordata","Aves","Charadriiformes","Laridae","Larus","philadelphia","male","body mass",0.205,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
37,"","Chordata","Aves","Charadriiformes","Laridae","Larus","philadelphia","male","brain size",2.49,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
38,"","Chordata","Aves","Charadriiformes","Laridae","Larus","argentatus","female","body mass",0.535,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
38,"","Chordata","Aves","Charadriiformes","Laridae","Larus","argentatus","female","brain size",5.08,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
39,"","Chordata","Aves","Charadriiformes","Laridae","Larus","delawarensis","female","body mass",0.72,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
39,"","Chordata","Aves","Charadriiformes","Laridae","Larus","delawarensis","female","brain size",8.72,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
40,"","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","griseus","female","body mass",0.268,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
40,"","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","griseus","female","brain size",3.01,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
41,"","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","striatus","female","body mass",0.52,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
41,"","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","striatus","female","brain size",5.7,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
42,"","Chordata","Aves","Falconiformes","Falconidae","Falco ","sparverius","male","body mass",0.112,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
42,"","Chordata","Aves","Falconiformes","Falconidae","Falco ","sparverius","male","brain size",2.51,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
43,"","Chordata","Aves","Bucerotiformes","Bucorvidae","Bucorvus","leadbeateri","male","body mass",2.15,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
43,"","Chordata","Aves","Bucerotiformes","Bucorvidae","Bucorvus","leadbeateri","male","brain size",26.25,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
44,"","Chordata","Aves","Apodiformes","Trochilidae","Amazilia","tzacatl","female","body mass",0.0048,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
44,"","Chordata","Aves","Apodiformes","Trochilidae","Amazilia","tzacatl","female","brain size",0.1998,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
45,"","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","stellata","female","body mass",1.53,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
45,"","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","stellata","female","brain size",6.12,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
46,"","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","stellata","male","body mass",1.568,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
46,"","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","stellata","male","brain size",6.38,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
47,"","Chordata","Aves","Suliformes","Fregatidae","Fregata","aquila","female","body mass",1.405,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
47,"","Chordata","Aves","Suliformes","Fregatidae","Fregata","aquila","female","brain size",9.45,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
48,"","Chordata","Aves","Anseriformes","Anatidae","Mergus","serrator","female","body mass",0.77,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
48,"","Chordata","Aves","Anseriformes","Anatidae","Mergus","serrator","female","brain size",5.289,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
49,"","Chordata","Aves","Struthioniformes","Struthionidae","Struthio","camelus","male","body mass",123,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
49,"","Chordata","Aves","Struthioniformes","Struthionidae","Struthio","camelus","male","brain size",42.11,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
50,"","Chordata","Aves","Stringiformes","Strigidae","Bubo","virginianus","male","body mass",1.177,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
