phylum,class,order,family,genus,species,specificEpithet,sex,sampleSizeValue,inTextReference,publicationYear,fullReference,mass,mass - units,mass - method,mass - comments,mass - metadata comment,original mass,original mass - units,metabolic rate,metabolic rate - units,metabolic rate - method,metabolic rate - comments,metabolic rate - metadata comment,original metabolic rate,original metabolic rate - units,original respiratoryQuotient,original temperature,mass-specific metabolic rate,mass-specific metabolic rate - units,brain size,brain size - units,brain size - method,brain size - comments,brain size - metadata comment,original brain size,original brain size - units,observationID,file,line,modified
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,clavipes,,5,"Weltzien & Barth, 1991",1991,"Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain â€œcentral bodyâ€ has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",,"",,"","",,"",,"",,"","",,"",,,,"",6.30924e-5,g,histological reconstruction,DONTWARN: checked value correct,cross sctions were horizontally aligned and measured with microscopic device,60900000,um3,doi-10.1002_jmor.1052080104::2,../data/raw/brain size/Arachnida/doi-10.1002_jmor.1052080104.csv,3,2021-03-01T06:55:54Z
Arthropoda,Arachnida,Araneae,Theraphosidae,Ephebopus,Ephebopus sp.,sp.,,3,"Weltzien & Barth, 1991",1991,"Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain â€œcentral bodyâ€ has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",,"",,"","",,"",,"",,"","",,"",,,,"",3.82284e-4,g,histological reconstruction,"",cross sctions were horizontally aligned and measured with microscopic device,369000000,um3,doi-10.1002_jmor.1052080104::3,../data/raw/brain size/Arachnida/doi-10.1002_jmor.1052080104.csv,4,2021-03-01T06:55:54Z
Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,Phidippus regius,regius,,3,"Weltzien & Barth, 1991",1991,"Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain â€œcentral bodyâ€ has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",,"",,"","",,"",,"",,"","",,"",,,,"",2.7454e-4,g,histological reconstruction,"",cross sctions were horizontally aligned and measured with microscopic device,265000000,um3,doi-10.1002_jmor.1052080104::4,../data/raw/brain size/Arachnida/doi-10.1002_jmor.1052080104.csv,5,2021-03-01T06:55:54Z
Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,Zygiella x-notata,x-notata,,20,"Pasquet, Toscani, & Anotaux, 2018",2018,"Pasquet, A., Toscani, C., & Anotaux, M. (2018). Influence of aging on brain and web characteristics of an orb web spider. Journal of Ethology, 36(1), 85-91. doi:10.1007/s10164-017-0530-z",3.9e-5,kg,"",old spider,"",39,mg,,"",,"","",,"",,,,"",0.0012224800000000004,g,histological reconstruction,old spider,"surface area were measured with microscope. then rotated 90 and devided into seven sections, heights were calculated and from then volume were measured  ",1.18,mm3,doi-10.1007_s10164-017-0530-z::1,../data/raw/brain size/Arachnida/doi-10.1007_s10164-017-0530-z.csv,2,2021-03-01T06:55:54Z
Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,Zygiella x-notata,x-notata,,13,"Pasquet, Toscani, & Anotaux, 2018",2018,"Pasquet, A., Toscani, C., & Anotaux, M. (2018). Influence of aging on brain and web characteristics of an orb web spider. Journal of Ethology, 36(1), 85-91. doi:10.1007/s10164-017-0530-z",2.9e-5,kg,"",young spider,"",29,mg,,"",,"","",,"",,,,"",0.0013571600000000005,g,histological reconstruction,young spider,"surface area were measured with microscope. then rotated 90 and devided into seven sections, heights were calculated and from then volume were measured  ",1.31,mm3,doi-10.1007_s10164-017-0530-z::2,../data/raw/brain size/Arachnida/doi-10.1007_s10164-017-0530-z.csv,4,2021-03-01T06:55:54Z
Arthropoda,Arachnida,Araneae,Mysmenidae,Mysmena,Mysmena sp.,sp.,female,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",1e-7,kg,"","","",0.1,mg,,"",,"","",,"",,,,"",4.0404e-6,g,histological reconstruction,CNS (includes volume of neuropil),photographs of cross sections were taken and then reconstructed using PC-reconstruct,3.9,x1e6 um3,doi-10.1016_j.asd.2011.07.002::1,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,2,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Mysmenidae,Mysmenopsis,Mysmenopsis tengellacompa,tengellacompa,female,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",3e-7,kg,"","","",0.3,mg,,"",,"","",,"",,,,"",1.87516e-5,g,histological reconstruction,"",photographs of cross sections were taken and then reconstructed using PC-reconstruct,18.1,x1e6 um3,doi-10.1016_j.asd.2011.07.002::2,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,4,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Anapidae,Anapisona,Anapisona simoni,simoni,female,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",8e-7,kg,"","","",0.8,mg,,"",,"","",,"",,,,"",1.31572e-5,g,histological reconstruction,"",photographs of cross sections were taken and then reconstructed using PC-reconstruct,12.7,x1e6 um3,doi-10.1016_j.asd.2011.07.002::3,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,6,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Anapidae,Anapisona,Anapisona simoni,simoni,male,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",8e-7,kg,"","","",0.8,mg,,"",,"","",,"",,,,"",1.20176e-5,g,histological reconstruction,"",photographs of cross sections were taken and then reconstructed using PC-reconstruct,11.6,x1e6 um3,doi-10.1016_j.asd.2011.07.002::4,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,8,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus elevatus,elevatus,female,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",3e-6,kg,"","","",3,mg,,"",,"","",,"",,,,"",3.39808e-5,g,histological reconstruction,"",photographs of cross sections were taken and then reconstructed using PC-reconstruct,32.8,x1e6 um3,doi-10.1016_j.asd.2011.07.002::5,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,10,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus elevatus,elevatus,male,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",2.4e-6,kg,"","","",2.4,mg,,"",,"","",,"",,,,"",5.51152e-5,g,histological reconstruction,"",photographs of cross sections were taken and then reconstructed using PC-reconstruct,53.2,x1e6 um3,doi-10.1016_j.asd.2011.07.002::6,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,12,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus sp.,sp.,male,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",2.7e-6,kg,"","","",2.7,mg,,"",,"","",,"",,,,"",5.57368e-5,g,histological reconstruction,"",photographs of cross sections were taken and then reconstructed using PC-reconstruct,53.8,x1e6 um3,doi-10.1016_j.asd.2011.07.002::7,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,14,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Araneidae,Eustala,Eustala illicita,illicita,male,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",1.4e-5,kg,"","","",14,mg,,"",,"","",,"",,,,"",,"",,"","",,"",doi-10.1016_j.asd.2011.07.002::8,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,16,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge mariana,mariana,female,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",5.9999999999999995e-5,kg,"","","",60,mg,,"",,"","",,"",,,,"",1.580936e-4,g,histological reconstruction,"",photographs of cross sections were taken and then reconstructed using PC-reconstruct,152.6,x1e6 um3,doi-10.1016_j.asd.2011.07.002::9,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,17,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge mariana,mariana,male,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",1.9999999999999998e-5,kg,"","","",20,mg,,"",,"","",,"",,,,"",1.34162e-4,g,histological reconstruction,"",photographs of cross sections were taken and then reconstructed using PC-reconstruct,129.5,x1e6 um3,doi-10.1016_j.asd.2011.07.002::10,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,19,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope argentata,argentata,female,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",2.5e-4,kg,"","","",250,mg,,"",,"","",,"",,,,"",3.451952e-4,g,histological reconstruction,"",photographs of cross sections were taken and then reconstructed using PC-reconstruct,333.2,x1e6 um3,doi-10.1016_j.asd.2011.07.002::11,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,21,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,clavipes,female,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",0.002,kg,"","DONTWARN: checked; data valid, extreme sexual dimorphism","",2000,mg,,"",,"","",,"",,,,"",6.630399999999999e-4,g,histological reconstruction,"DONTWARN: checked; data valid, extreme sexual dimorphism",photographs of cross sections were taken and then reconstructed using PC-reconstruct,640,x1e6 um3,doi-10.1016_j.asd.2011.07.002::12,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,23,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,clavipes,male,1,"Quesada et al., 2011",2011,"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",1.12e-5,kg,"","DONTWARN: checked; data valid, extreme sexual dimorphism","",11.2,mg,,"",,"","",,"",,,,"",1.615124e-4,g,histological reconstruction,"DONTWARN: checked; data valid, extreme sexual dimorphism",photographs of cross sections were taken and then reconstructed using PC-reconstruct,155.9,x1e6 um3,doi-10.1016_j.asd.2011.07.002::13,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2011.07.002.csv,25,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Agelenidae,Eratigena,Eratigena atrica,atrica,,10,"Napiorkowska & Kobak, 2017",2017,"Napiorkowska, T., & Kobak, J. (2017). The allometry of the central nervous system during the postembryonic development of the spider Eratigena atrica. Arthropod Structure & Development, 46(6), 805-814. doi:10.1016/j.asd.2017.08.005",,"",,"","",,"",,"",,"","",,"",,,,"",1.3778800000000004e-4,g,histological reconstruction,,,0.133,mm3,doi-10.1016_j.asd.2017.08.005::1,../data/raw/brain size/Arachnida/doi-10.1016_j.asd.2017.08.005.csv,2,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,male,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",2.4503462158e-5,g,micro-CT,supplementary material says data is in u3? In text units are um3 - no body mass recorded ,,23651990.5,um3,doi-10.1038_srep46627::1,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,2,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",2.20232955628e-5,g,micro-CT,"",,21258007.3,um3,doi-10.1038_srep46627::2,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,3,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,male,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",2.4336333084000003e-5,g,micro-CT,"",,23490669,um3,doi-10.1038_srep46627::3,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,4,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",2.2961767455200003e-5,g,micro-CT,"",,22163868.2,um3,doi-10.1038_srep46627::4,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,5,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,male,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",2.9461637360399997e-5,g,micro-CT,"",,28437873.9,um3,doi-10.1038_srep46627::5,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,6,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,male,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",2.4368488244800002e-5,g,micro-CT,"",,23521706.8,um3,doi-10.1038_srep46627::6,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,7,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",2.11184038492e-5,g,micro-CT,"",,20384559.7,um3,doi-10.1038_srep46627::7,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,8,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",3.49649815592e-5,g,micro-CT,"",,33749982.2,um3,doi-10.1038_srep46627::8,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,9,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",4.01069884348e-5,g,micro-CT,"",,38713309.3,um3,doi-10.1038_srep46627::9,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,10,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",2.5316848032e-5,g,micro-CT,"",,24437112,um3,doi-10.1038_srep46627::10,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,11,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,male,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",3.8765090268799995e-5,g,micro-CT,"",,37418040.8,um3,doi-10.1038_srep46627::11,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,12,2021-03-01T06:55:56Z
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,"Stafstrom, Michalik, & Hebets, 2017",2017,"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",,"",,"","",,"",,"",,"","",,"",,,,"",2.9078567036399997e-5,g,micro-CT,"",,28068114.9,um3,doi-10.1038_srep46627::12,../data/raw/brain size/Arachnida/doi-10.1038_srep46627.csv,13,2021-03-01T06:55:56Z
